Country_Name,Country_Code,Region,Income_Group,Year,GDP_USD,GDP_PerCapita_USD,Population_Total,Population_Growth_Pct,Urban_Population_Pct,Life_Expectancy_Years,Birth_Rate_Per1000,Death_Rate_Per1000,Fertility_Rate,CO2_Emissions_MT,Internet_Users_Pct,Unemployment_Pct,Government_Expenditure_GDP_Pct,Trade_GDP_Pct,Inflation_Pct,Access_Electricity_Pct,Primary_School_Enrollment_Pct,Hospital_Beds_Per1000,Research_Dev_Expenditure_GDP_Pct
Germany,DEU,Europe & Central Asia,High income,2021,4310000000000,51838,83300000,0.10,77.58,80.97,9.1,12.2,1.53,620.0,92.0,3.61,21.4,87.4,3.2,100.0,100.0,8.0,3.13
Germany,DEU,Europe & Central Asia,High income,2022,4080000000000,48636,83400000,-0.05,77.70,80.67,8.8,12.3,1.47,610.0,93.0,3.14,21.7,88.6,8.7,100.0,100.0,7.9,3.15
India,IND,South Asia,Lower middle income,2020,2660000000000,1933,1380000000,0.93,34.93,69.89,17.4,7.0,2.01,2441.0,43.0,8.04,12.8,37.6,6.2,99.6,92.0,0.5,0.65
India,IND,South Asia,Lower middle income,2021,3150000000000,2278,1393400000,0.81,35.39,70.21,17.0,7.2,1.99,2560.0,47.0,5.98,12.9,39.1,5.5,99.6,93.0,0.5,0.66
India,IND,South Asia,Lower middle income,2022,3390000000000,2411,1411700000,0.72,35.87,70.42,16.8,7.3,1.97,2680.0,52.0,4.52,13.0,41.2,6.7,99.6,94.0,0.5,0.68
United Kingdom,GBR,Europe & Central Asia,High income,2020,2710000000000,40409,67100000,0.34,83.64,80.77,10.2,10.4,1.56,319.0,96.0,4.54,22.2,60.8,0.9,100.0,100.0,2.5,1.76
United Kingdom,GBR,Europe & Central Asia,High income,2021,3180000000000,47347,67300000,0.27,83.80,80.91,9.9,10.6,1.55,327.0,96.5,4.42,22.5,61.5,2.6,100.0,100.0,2.4,1.74
United Kingdom,GBR,Europe & Central Asia,High income,2022,3070000000000,45461,67500000,0.25,83.92,80.87,9.7,10.8,1.53,332.0,97.0,3.71,22.7,62.4,9.1,100.0,100.0,2.4,1.73
Brazil,BRA,Latin America & Caribbean,Upper middle income,2020,1450000000000,6810,212600000,0.55,87.07,75.44,13.4,7.0,1.72,428.0,81.0,13.49,19.4,30.2,3.2,99.8,97.0,2.1,1.18
Brazil,BRA,Latin America & Caribbean,Upper middle income,2021,1610000000000,7519,214000000,0.52,87.30,75.72,12.8,7.4,1.71,440.0,84.0,14.72,19.8,31.8,8.3,99.8,97.0,2.0,1.20
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,1920000000000,8917,215300000,0.45,87.56,75.88,12.4,7.0,1.68,450.0,84.0,9.35,20.1,33.1,5.8,99.8,98.0,2.0,1.22
Indonesia,IDN,East Asia & Pacific,Lower middle income,2020,1060000000000,3870,273500000,1.07,56.66,69.61,16.1,6.7,2.19,587.0,62.0,7.72,9.5,36.8,1.9,98.9,94.0,1.0,0.28
Indonesia,IDN,East Asia & Pacific,Lower middle income,2021,1190000000000,4298,276400000,1.05,57.20,69.74,15.8,6.8,2.18,602.0,62.0,6.24,9.6,38.0,1.6,99.0,95.0,1.0,0.30
Indonesia,IDN,East Asia & Pacific,Lower middle income,2022,1320000000000,4788,279300000,1.03,57.73,69.85,15.6,6.9,2.17,618.0,77.0,5.45,9.7,39.5,4.2,99.0,96.0,1.1,0.32
South Korea,KOR,East Asia & Pacific,High income,2020,1640000000000,31638,51800000,0.05,81.41,83.50,5.3,6.1,0.84,590.0,97.6,4.02,16.4,72.5,0.5,100.0,98.0,12.5,4.81
South Korea,KOR,East Asia & Pacific,High income,2021,1800000000000,34757,51700000,-0.02,81.54,83.64,5.1,6.3,0.81,612.0,97.8,3.73,16.6,74.0,2.5,100.0,99.0,12.6,4.93
South Korea,KOR,East Asia & Pacific,High income,2022,1670000000000,32255,51600000,-0.12,81.68,83.74,4.9,6.4,0.78,616.0,98.0,2.91,16.8,75.2,5.1,100.0,99.0,12.7,4.96
Australia,AUS,East Asia & Pacific,High income,2020,1330000000000,51723,25600000,1.48,86.24,82.82,12.3,6.7,1.58,371.0,90.0,6.48,23.8,41.9,0.9,100.0,98.0,3.8,1.82
Australia,AUS,East Asia & Pacific,High income,2021,1560000000000,60443,25700000,1.30,86.41,83.28,12.0,6.8,1.60,385.0,92.0,5.11,24.0,43.0,2.9,100.0,99.0,3.8,1.83
Australia,AUS,East Asia & Pacific,High income,2022,1680000000000,64491,25900000,1.25,86.57,83.45,11.8,6.8,1.59,390.0,93.0,3.47,24.2,44.6,6.6,100.0,99.0,3.7,1.85
Canada,CAN,North America,High income,2020,1650000000000,43542,38000000,1.02,81.13,82.05,9.8,8.3,1.47,524.0,97.0,9.56,21.4,64.2,0.7,100.0,99.0,2.5,1.71
Canada,CAN,North America,High income,2021,2000000000000,52476,38200000,0.84,81.31,82.26,9.5,8.4,1.44,540.0,97.5,7.44,21.7,65.5,3.4,100.0,99.0,2.5,1.72
Canada,CAN,North America,High income,2022,2140000000000,55486,38400000,0.82,81.49,82.38,9.3,8.5,1.40,548.0,98.0,5.35,21.9,67.0,6.8,100.0,99.0,2.4,1.74
