Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,60,RL,78,14300,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,240,Gd,TA,PProom,Gd,TA,Av,GLQ,1104,Unf,0,387,1491,GasA,Ex,Y,SBrkr,1491,1186,0,2677,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,2002,RFn,3,804,TA,TA,Y,0,60,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,245000
21,160,RM,43,6100,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,6,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Rec,780,Unf,0,162,942,GasA,TA,Y,SBrkr,942,792,0,1734,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,2000,Unf,1,300,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,130000
22,160,RM,33,7500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,4,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Rec,825,Unf,0,234,1059,GasA,TA,Y,SBrkr,1059,792,0,1851,0,0,1,0,4,1,TA,7,Min1,0,NA,Detchd,1950,Unf,1,360,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,3,2007,WD,Abnorml,101000
23,60,RL,75,14200,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,340,Ex,TA,PProom,Ex,TA,Av,GLQ,1530,Unf,0,376,1906,GasA,Ex,Y,SBrkr,1906,1488,0,3394,1,0,2,1,4,1,Ex,10,Typ,1,Ex,Attchd,2006,Fin,3,858,TA,TA,Y,0,85,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,375000
24,20,RL,63,8125,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,810,Unf,0,415,1225,GasA,TA,Y,SBrkr,1225,0,0,1225,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1960,Unf,1,390,TA,TA,Y,40,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,132000
25,120,RL,85,11700,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1960,1970,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,CBlock,Gd,TA,Av,GLQ,1040,Unf,0,312,1352,GasA,Ex,Y,SBrkr,1352,0,0,1352,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1960,RFn,2,540,TA,TA,Y,120,0,0,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,173500
26,30,RM,66,6390,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,OldTown,Artery,Feedr,1Fam,1Story,5,7,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,672,Unf,0,318,990,GasA,TA,Y,FuseF,990,0,0,990,0,1,1,0,2,1,TA,5,Typ,0,NA,Detchd,1940,Unf,1,252,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,6,2007,WD,Abnorml,88000
27,20,RL,68,10625,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,868,Unf,0,396,1264,GasA,Ex,Y,SBrkr,1264,0,0,1264,1,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1968,RFn,2,522,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,135000
28,50,RL,85,14900,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200,Gd,TA,PProom,Gd,TA,Av,GLQ,960,Unf,0,384,1344,GasA,Ex,Y,SBrkr,1344,720,0,2064,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1998,RFn,2,648,TA,TA,Y,0,65,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,218500
29,50,RL,52,11000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1968,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,828,Unf,0,462,1290,GasA,Ex,Y,SBrkr,1290,540,0,1830,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1968,RFn,2,504,TA,TA,Y,0,48,0,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,162000
30,190,RL,65,8246,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1959,1959,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,BLQ,756,Unf,0,276,1032,GasA,TA,Y,SBrkr,1032,720,0,1752,0,1,1,0,3,1,TA,6,Typ,0,NA,Detchd,1959,Unf,1,276,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,128000
